Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Gender,Total Years of Experince within EFG Hermes,2022 Performance Appraisal,2021 Performance Appraisal,2020 Performance Appraisal,2019 Performance Appraisal,2018 Performance Appraisal,2023 Promotions,2022 Promotions,2021 Promotions,2020 Promotions,2019 Promotions
Business Partner,Administration,Administration,120,11-Sep-96,Administration Financial Manager,Director,1089,Egypt - Head Office,Male,26 Year(s) 9 Month(s) 9 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Above Expectations,Above Expectations,,,,,
Business Partner,Administration,Administration,2843,1-Jan-23,Receptionist,Junior,516,UAE - One Central,Female,0 Year(s) 5 Month(s) 19 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Administration,Administration,2862,6-Mar-23,Public Relations Officer,Junior,577,UAE - DIFC,Male,0 Year(s) 3 Month(s) 14 Day(s),Hired 2023,Hired 2023,Hired 2023,Hired 2023,Hired 2023,,,,,
Business Partner,Administration,Administration,2802,14-Aug-22,Receptionist,Junior,1089,Egypt - Head Office,Female,0 Year(s) 10 Month(s) 6 Day(s),Hired 2022,Hired 2022,Hired 2022,Hired 2022,Hired 2022,,,,,
Business Partner,Administration,Administration,2202,3-Aug-15,Administration Officer,Junior,2360,Pakistan - Karachi,Female,7 Year(s) 10 Month(s) 17 Day(s),Meets Expectations,Meets Expectations,Not applicable,Not Applicable,Not Applicable,,,,,
Business Partner,Administration,Administration,1089,1-Apr-97,Head of Administration & Facilities,Managing Director,290,Egypt - Head Office,Male,26 Year(s) 2 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,,,,,
Business Partner,Administration,Administration,516,4-Oct-04,Senior Office Manager,Professional,290,UAE - One Central,Female,18 Year(s) 8 Month(s) 16 Day(s),Above Expectations,Above Expectations,Above Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Administration,Administration,880,9-May-07,Senior Travel Desk Manager,Professional,290,Egypt - Head Office,Female,16 Year(s) 1 Month(s) 11 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Meets Expectations,Above Expectations,,,,,
Business Partner,Administration,Administration,577,2-Oct-05,Senior Administration Manager,Professional,928,UAE - DIFC,Female,17 Year(s) 8 Month(s) 18 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Meets Expectations ,Meets Expectations,,,,,
Business Partner,Administration,Administration,2326,5-Aug-18,Senior Office Manager,Professional,963,Kuwait - Head Office,Female,4 Year(s) 10 Month(s) 15 Day(s),Meets Expectations,Meets Expectations,Meets Expectations ,Above Expectations ,Hired 2018,,,,,
Business Partner,Administration,Administration,45,1-Nov-98,Fleet Manager,Professional,1089,Egypt - Head Office,Male,24 Year(s) 7 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Above Expectations,Meets Expectations,,,,,Senior Specialist - A - Professional - C: Mar 2019
Business Partner,Administration,Administration,441,1-Sep-99,Administration Manager,Professional,1089,Egypt - Head Office,Male,23 Year(s) 9 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations,Above Expectations,Meets Expectations,,Senior Specialist - A - Professional - C: Mar 2022,,,
Business Partner,Administration,Administration,1098,25-Mar-08,Administration Manager,Professional,1089,Egypt - Head Office,Female,15 Year(s) 2 Month(s) 25 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,Senior Specialist - A - Professional - C: Jul 2020,
Business Partner,Administration,Administration,1628,1-Aug-10,Communications Relations Manager,Professional,1089,Egypt - Head Office,Male,12 Year(s) 10 Month(s) 19 Day(s),Above Expectations,Meets Expectations,Needs Development,Meets Expectations,Meets Expectations,,,,,Senior Specialist - A - Professional - C: Mar 2019
Business Partner,Administration,Administration,2291,1-Jun-18,Administration Manager,Professional,1089,Egypt - Head Office,Male,5 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Above Expectations,Above Expectations,Meets Expectations,,,,Senior Specialist - A - Professional - C: Jul 2020,
Business Partner,Administration,Administration,1445,1-Jun-05,Senior Office Manager,Professional,1415,Kuwait - Head Office,Female,18 Year(s) 0 Month(s) 19 Day(s),Meets Expectations,Above Expectations,Meets Expectations ,Above Expectations ,Meets Expectations,,,,,Senior Specialist - A - Professional - C: Mar 2019
Business Partner,Administration,Administration,1449,15-Oct-05,Governmental Relations Manager,Professional,1415,Kuwait - Head Office,Male,17 Year(s) 8 Month(s) 5 Day(s),Meets Expectations,Above Expectations,Above Expectations ,Meets Expectations ,Above Expectations,,,,,Senior Specialist - C - Professional - C: Mar 2019
Business Partner,Administration,Administration,2118,9-Oct-17,Office Manager,Professional,2006,USA - New York,Female,5 Year(s) 8 Month(s) 11 Day(s),Above Expectations,Meets Expectations,Above Expectations,Above Expectations ,Above Expectations,Senior Specialist - C - Professional - C: Mar 2023,,,,Specialist - B - Senior Specialist - C: Mar 2019
Business Partner,Administration,Administration,2455,1-May-19,Office Manager,Professional,2454,Nigeria - Lagos,Female,4 Year(s) 1 Month(s) 19 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations ,Hired 2019,,Senior Specialist - B - Professional - C: Mar 2022,,,
Business Partner,Administration,Administration,1590,6-Jun-10,Asset Tracking & Procurement System Supervisor,Senior Specialist,120,Egypt - Head Office,Male,13 Year(s) 0 Month(s) 14 Day(s),Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,Meets Expectations,,,,,
