Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Total Years of Experince within EFG Hermes,Gender,Category,Exit Date,Comments
Business Partner,Administration,Administration,50,1-Oct-00,Administration Officer,Specialist,22,Egypt - Head Office,17 Year(s) 5 Month(s) 0 Days,Male,Administration,28-Feb-18,
Business Partner,Administration,Administration,451,7-Jul-04,Senior Administration Officer,Specialist,22,Egypt - Head Office,13 Year(s) 10 Month(s) 24 Days,Female,Administration,31-May-18,
Business Partner,Administration,Administration,1762,21-May-13,Senior Travel Desk Officer,Senior Specialist,516,UAE - DIFC,4 Year(s) 10 Month(s) 29 Days,Female,Administration,19-Apr-18,
Business Partner,Administration,Administration,1166,1-Jun-08,Senior Administration Manager,Professional,892,KSA - Riyadh,9 Year(s) 7 Month(s) 15 Days,Male,Administration,15-Jan-18,
Business Partner,Administration,Administration,1446,20-Jan-09,Executive Secretary,N/A,963,Kuwait - Head Office,9 Year(s) 2 Month(s) 15 Days,Male,Administration,4-Apr-18,
Business Line,Asset Management,Asset Management,2092,13-Aug-17,Associate,Associate,1277,KSA - Riyadh,1 Year(s) 0 Month(s) 20 Days,Male,Officers,2-Sep-18,
Business Line,Asset Management,Asset Management,1275,16-Sep-08,Director,Director,1277,KSA - Riyadh,9 Year(s) 8 Month(s) 19 Days,Male,Officers,4-Jun-18,
Business Line,Asset Management,Asset Management,811,7-Jan-07,Vice President,Vice President,1277,KSA - Riyadh,11 Year(s) 10 Month(s) 2 Days,Male,Officers,8-Nov-18,
Business Line,Asset Management,Asset Management,656,1-Feb-06,Managing Director,Managing Director,1277,UAE - DIFC,11 Year(s) 6 Month(s) 0 Days,Male,Officers,31-May-18,
Business Line,Asset Management,Asset Management,1214,1-Jul-08,Vice President,Vice President,1370,UAE - DIFC,9 Year(s) 8 Month(s) 29 Days,Female,Officers,29-Mar-18,
Business Line,Asset Management,Asset Management,855,2-May-07,Managing Director,Managing Director,1635,Egypt - Head Office,11 Year(s) 5 Month(s) 29 Days,Male,Officers,31-Oct-18,
Business Line,Asset Management,Asset Management,1784,15-Sep-13,Vice President,Vice President,1850,Egypt - Head Office,5 Year(s) 3 Month(s) 16 Days,Male,Officers,31-Dec-18,
Business Partner,Asset Management Operations,Asset Management Operations,2082,1-Jul-17,Analyst,Analyst,781,Egypt - Head Office,1 Year(s) 2 Month(s) 0 Days,Male,Officers,30-Aug-18,
Business Partner,Asset Management Operations,Asset Management Operations,1837,25-Aug-14,Associate,Associate,1244,UAE - DIFC,4 Year(s) 1 Month(s) 6 Days,Male,Officers,30-Sep-18,
Business Line,Brokerage,Brokerage,2188,2-Jan-17,Head of Brokerage & Business Development,N/A,2053,Pakistan - Karachi,1 Year(s) 7 Month(s) 5 Days,Male,Officers,6-Aug-18,Restructuring
Business Line,Brokerage,Brokerage,2190,3-Apr-17,Equity Dealer,N/A,2182,Pakistan - Karachi,1 Year(s) 5 Month(s) 24 Days,Male,Officers,26-Sep-18,Restructuring
Business Line,Brokerage,Brokerage,2194,3-Jul-17,Equity Dealer,N/A,2182,Pakistan - Karachi,0 Year(s) 7 Month(s) 28 Days,Male,Officers,28-Feb-18,Restructuring
Business Line,Brokerage,Brokerage,2216,11-Jun-12,Branch Manager,N/A,2188,Pakistan - Lahore,5 Year(s) 9 Month(s) 26 Days,Male,Officers,6-Apr-18,Restructuring
Business Line,Brokerage,"Brokerage, Branches Management",140,1-Aug-97,Branch Manager,Director,188,Egypt - Alex - Somouha,21 Year(s) 0 Month(s) 0 Days,Male,Officers,31-Jul-18,
Business Line,Brokerage,"Brokerage, Branches Management",1326,19-Jul-09,Acting Branch Manager,Associate VP,188,Egypt - Assiut,9 Year(s) 3 Month(s) 12 Days,Male,Officers,31-Oct-18,
Business Line,Brokerage,"Brokerage, Branches Management",2152,15-Jan-18,Branch Manager,Vice President,188,Egypt - Head Office,0 Year(s) 1 Month(s) 4 Days,Male,Officers,18-Feb-18,
Business Line,Brokerage,"Brokerage, Branches Management",467,12-Oct-04,Branch Manager,Vice President,188,Egypt - Maadi,14 Year(s) 1 Month(s) 19 Days,Male,Officers,30-Nov-18,
Business Line,Brokerage,"Brokerage, Branches Management",408,1-Jul-95,Branch Manager,Director,188,Egypt - Mohandeseen,23 Year(s) 4 Month(s) 0 Days,Male,Officers,31-Oct-18,
Business Line,Brokerage,"Brokerage, Branches Mgmt. Customer Service",2099,1-Sep-17,"Analyst, Customer Service",Analyst,136,Egypt - Alex - Talaat Harb,1 Year(s) 4 Month(s) 0 Days,Female,Officers,31-Dec-18,
Business Line,Brokerage,"Brokerage, Branches Mgmt. Customer Service",1903,1-Jun-15,"Analyst, Customer Service",Analyst,1326,Egypt - Assiut,3 Year(s) 5 Month(s) 0 Days,Male,Officers,31-Oct-18,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1339,25-Aug-09,"Associate VP, Individual Retail Sales",Associate VP,346,Egypt - Head Office,9 Year(s) 2 Month(s) 6 Days,Female,Officers,31-Oct-18,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2279,1-May-18,"Associate, Individual Retail Sales",Associate,399,Egypt - Haram,0 Year(s) 3 Month(s) 0 Days,Female,Officers,31-Jul-18,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",318,24-Jul-00,"Vice President, Individual Retail Sales",Vice President,409,Egypt - Nasr City,18 Year(s) 2 Month(s) 7 Days,Male,Officers,30-Sep-18,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1975,1-May-16,"Associate, Individual Retail Sales",Associate,556,Egypt - Mossadak,1 Year(s) 11 Month(s) 0 Days,Female,Officers,31-Mar-18,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1907,1-Jun-15,"Associate, Individual Retail Sales",Associate,1326,Egypt - Assiut,3 Year(s) 5 Month(s) 0 Days,Male,Officers,31-Oct-18,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",844,3-Mar-07,"Associate Director, Institutional Sales Trading",Vice President,631,KSA - Riyadh,11 Year(s) 4 Month(s) 3 Days,Female,Officers,5-Jul-18,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",709,17-Jun-06,"Director, Institutional Sales Trading",Director,631,UAE - Boulevard Plaza,12 Year(s) 3 Month(s) 14 Days,Male,Officers,30-Sep-18,
Business Line,Brokerage,"Brokerage, Local Trading",1403,13-Mar-04,Broker,Associate,1415,Kuwait - Head Office,14 Year(s) 1 Month(s) 18 Days,Male,Officers,30-Apr-18,
Business Line,Brokerage,"Brokerage, Local Trading",1406,11-Jul-07,Broker,Associate VP,1415,Kuwait - Head Office,10 Year(s) 8 Month(s) 20 Days,Male,Officers,31-Mar-18,
Business Line,Brokerage,"Brokerage, Order Taking",1414,12-Feb-12,Order Taker,Associate,1415,Kuwait - Head Office,6 Year(s) 0 Month(s) 19 Days,Male,Officers,28-Feb-18,
Business Line,Brokerage,"Brokerage, Retail Contact Center",822,12-Feb-07,Senior Call Center Officer,Associate VP,498,Egypt - Head Office,11 Year(s) 8 Month(s) 19 Days,Female,Officers,31-Oct-18,
Business Line,Brokerage,"Brokerage, Retail Contact Center",2286,15-May-18,Online Trading Officer,Analyst,835,Egypt - Head Office,0 Year(s) 2 Month(s) 16 Days,Male,Officers,31-Jul-18,
Business Line,Brokerage,"Brokerage, Structured Products",2025,1-Jan-17,Associate,Associate,2015,UAE - Boulevard Plaza,1 Year(s) 5 Month(s) 27 Days,Male,Officers,27-Jun-18,
Business Line,Brokerage,"Brokerage, Trading",2098,11-Sep-17,"Associate, Trading Desk",Associate,2053,UAE - Boulevard Plaza,1 Year(s) 0 Month(s) 21 Days,Male,Officers,1-Oct-18,
Business Partner,Brokerage Operations,Brokerage Operations,212,13-Aug-00,Operations Manager,Director,565,Egypt - Head Office,18 Year(s) 1 Month(s) 18 Days,Male,Officers,30-Sep-18,
Business Partner,Brokerage Operations,Brokerage Operations,1425,12-Jul-03,Operations Officer,Associate,799,Kuwait - Head Office,15 Year(s) 1 Month(s) 5 Days,Male,Officers,16-Aug-18,
Business Partner,Brokerage Operations,Brokerage Operations,2233,3-Nov-15,Chief Operating Officer,N/A,1254,Pakistan - Karachi,2 Year(s) 11 Month(s) 4 Days,Male,Officers,6-Oct-18,Restructuring
Business Partner,Brokerage Operations,Brokerage Operations,1852,1-Dec-14,Interest Claims & Acc. Opening Officer,Associate,1805,Egypt - Head Office,3 Year(s) 8 Month(s) 0 Days,Female,Officers,31-Jul-18,
