Type,Department,Desk,EID,Hire Date,Job Title,Level,Direct Manager EID,Location,Total Years of Experince within EFG Hermes,Gender,Category,Exit Date
Business Partner,Administration,Administration,2468,1-Nov-19,Receptionist,Junior,516,UAE - One Central,0 Year(s) 3 Month(s) 3 Days,Female,Administration,3-Feb-20
Business Line,Asset Management,Asset Management,446,19-Dec-10,Vice President,Vice President,1850,Egypt - Head Office,9 Year(s) 11 Month(s) 12 Days,Male,Officers,30-Nov-20
Business Partner,Asset Management Operations,Asset Management Operations,1533,1-Mar-10,Associate Director,Associate Director,781,Egypt - Head Office,10 Year(s) 5 Month(s) 27 Days,Male,Officers,27-Aug-20
Business Line,Brokerage,"Brokerage, Individual Retail Sales",862,2-May-07,Account Manager,Vice President,136,Egypt - Alex - Somouha,12 Year(s) 8 Month(s) 29 Days,Female,Officers,31-Jan-20
Business Line,Brokerage,"Brokerage, Branches Management",2124,1-Nov-17,Branch Manager,Vice President,188,Egypt - Tanta,3 Year(s) 2 Month(s) 0 Days,Male,Officers,31-Dec-20
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2294,3-Jun-18,Account Director,Director,346,Egypt - Head Office,1 Year(s) 9 Month(s) 10 Days,Male,Officers,12-Mar-20
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2154,1-Jan-18,Assistant Account Officer,Analyst,409,Egypt - Nasr City,2 Year(s) 4 Month(s) 6 Days,Male,Officers,6-May-20
Business Line,Brokerage,"Brokerage, Retail Contact Center",2362,24-Oct-18,Online Trading Officer,Analyst,835,Egypt - Head Office,1 Year(s) 5 Month(s) 7 Days,Female,Officers,31-Mar-20
Business Line,Brokerage,"Brokerage, Global Markets Support",2356,14-Oct-18,Global Markets Support Officer,Analyst,1034,Egypt - Head Office,1 Year(s) 7 Month(s) 17 Days,Male,Officers,31-May-20
Business Line,Brokerage,"Brokerage, Foreign Institutional Trading",1418,18-Jun-17,Branch Manager & Deputy Head of Trading,Vice President,1415,Kuwait - Head Office,2 Year(s) 7 Month(s) 0 Days,Male,Officers,17-Jan-20
