Type,Department,Desk,EID,Hire Date,Job Title,Level,Manager EID,Location,Total Years of Experince within EFG Hermes,Gender,Category,Exit Date,Comment
Business Partner,Administration,Administration,1177,1-Jan-04,Administration Supervisor,Senior Specialist,190,Oman - Muscat,19 Year(s) 0 Month(s) 0 Day(s),Female,Administration,31-Dec-22,Closing of the Office
Business Partner,Administration,Administration,2448,22-Sep-19,Office Coordinator,Junior,190,Oman - Muscat,2 Year(s) 10 Month(s) 9 Day(s),Female,Administrative Support,31-Jul-22,Closing of the Office
Business Partner,Administration,Administration,2511,1-Mar-20,Administration Officer,Specialist,516,UAE - One Central,2 Year(s) 9 Month(s) 10 Day(s),Female,Administration,10-Dec-22,
Business Partner,Administration,Administration,1568,9-May-10,Security Manager,Professional,1089,Egypt - Head Office,12 Year(s) 7 Month(s) 7 Day(s),Male,Administration,15-Dec-22,
Business Line,Asset Management,Asset Management,1922,1-Aug-15,Associate Vice President,Associate VP,746,Egypt - Head Office,7 Year(s) 5 Month(s) 0 Day(s),Female,Officers,31-Dec-22,
Business Line,Asset Management,Asset Management,2100,1-Sep-17,Vice President,Vice President,1635,Egypt - Head Office,4 Year(s) 9 Month(s) 0 Day(s),Female,Officers,31-May-22,
Business Partner,Asset Management Operations,Asset Management Operations,2736,15-Mar-22,Analyst,Analyst,781,Egypt - Head Office,0 Year(s) 2 Month(s) 16 Day(s),Male,Officers,31-May-22,
Business Line,Brokerage,"Brokerage, Customer Service",2646,1-Oct-21,"Associate, Customer Service",Associate,2360,Pakistan - Karachi,0 Year(s) 5 Month(s) 10 Day(s),Female,Officers,10-Mar-22,
Business Line,Brokerage,"Brokerage, GCC High Net Worth",1225,3-Aug-08,"Vice President, MENA High Net-Worth Sales",Vice President,604,Egypt - Head Office,14 Year(s) 2 Month(s) 15 Day(s),Female,Officers,17-Oct-22,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1968,1-May-16,"Associate VP, Individual Retail Sales",Associate VP,190,Oman - Muscat,6 Year(s) 4 Month(s) 0 Day(s),Male,Officers,31-Aug-22,Closing of the Office
Business Line,Brokerage,"Brokerage, Individual Retail Sales",1341,24-Aug-09,Head of Individual Retail Sales,Vice President,190,Oman - Muscat,12 Year(s) 11 Month(s) 7 Day(s),Male,Officers,31-Jul-22,Closing of the Office
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2661,15-Nov-21,Senior Account Officer,Associate VP,346,Egypt - Head Office,0 Year(s) 9 Month(s) 16 Day(s),Female,Officers,31-Aug-22,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2277,1-May-18,Senior Account Officer,Associate VP,399,Egypt - Haram,4 Year(s) 6 Month(s) 17 Day(s),Male,Officers,17-Nov-22,
Business Line,Brokerage,"Brokerage, Individual Retail Sales",2598,6-Jun-21,Assistant Account Officer,Analyst,2290,Egypt - New Cairo,0 Year(s) 11 Month(s) 25 Day(s),Male,Officers,31-May-22,
Business Line,Brokerage,"Brokerage, Institutional Sales",2059,15-May-17,"Vice President, Institutional Sales",Vice President,2006,USA - New York,4 Year(s) 10 Month(s) 29 Day(s),Female,Officers,13-Apr-22,
Business Line,Brokerage,"Brokerage, Institutional Sales",2166,22-Jan-18,"Associate VP, Institutional Sales",Associate VP,2087,UK - London,4 Year(s) 10 Month(s) 16 Day(s),Female,Officers,7-Dec-22,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",2466,13-Jan-11,"Associate Director, Sales Trading",Associate Director,2069,Nigeria - Lagos,11 Year(s) 6 Month(s) 0 Day(s),Female,Officers,12-Jul-22,
Business Line,Brokerage,"Brokerage, Institutional Sales Trading",2072,28-May-17,"Director, Sales Trading",Director,2069,UK - London,1 Year(s) 3 Month(s) 4 Day(s),Male,Officers,4-Oct-22,
Business Line,Brokerage,"Brokerage, Local Institutional Trading",2217,20-Oct-16,"Vice President, Local Institutional Trading",Vice President,2360,Pakistan - Lahore,5 Year(s) 9 Month(s) 29 Day(s),Male,Officers,18-Aug-22,
Business Line,Brokerage,"Brokerage, Local Trading",1398,1-Oct-06,Broker,Associate,1387,Kuwait - Head Office,15 Year(s) 3 Month(s) 11 Day(s),Male,Officers,11-Jan-22,
Business Line,Brokerage,"Brokerage, Retail Contact Center",1496,17-Jan-10,Call Center Supervisor,Vice President,841,UAE - DFM,9 Year(s) 1 Month(s) 8 Day(s),Female,Officers,8-Nov-22,
Business Line,Brokerage,"Brokerage, Sales",1314,1-Jun-09,Head of Trading Desk,Associate VP,190,Oman - Muscat,13 Year(s) 7 Month(s) 0 Day(s),Male,Officers,31-Dec-22,Closing of the Office
Business Line,Brokerage,"Brokerage, Trading",1776,1-Jul-13,"Associate VP, Trading Desk",Associate VP,190,Oman - Muscat,9 Year(s) 6 Month(s) 0 Day(s),Male,Officers,31-Dec-22,Closing of the Office
Business Partner,Brokerage Operations,Brokerage Operations,2518,27-May-20,Settlements Officer,Associate,179,Oman - Muscat,2 Year(s) 3 Month(s) 4 Day(s),Male,Officers,31-Aug-22,Closing of the Office
Business Partner,Brokerage Operations,Brokerage Operations,1174,1-Apr-06,Senior Settlements Officer,Associate VP,179,Oman - Muscat,16 Year(s) 9 Month(s) 0 Day(s),Male,Officers,31-Dec-22,Closing of the Office
Business Partner,Brokerage Operations,Brokerage Operations,179,2-May-95,Senior Operations Manager,Associate Director,565,Oman - Muscat,14 Year(s) 6 Month(s) 0 Day(s),Male,Officers,31-Dec-22,Closing of the Office
Business Partner,Compliance,Compliance,2325,1-Aug-18,Compliance Senior Director,Director,279,Egypt - Head Office,4 Year(s) 5 Month(s) 0 Day(s),Male,Officers,31-Dec-22,
Business Partner,Compliance,Compliance,1586,8-Jun-10,Compliance Senior Manager,Associate Director,1083,Egypt - Head Office,11 Year(s) 11 Month(s) 8 Day(s),Female,Officers,15-May-22,
Business Partner,Compliance,Compliance,2641,25-Aug-21,Senior Compliance Officer,Associate VP,2221,Pakistan - Karachi,1 Year(s) 2 Month(s) 15 Day(s),Male,Officers,9-Nov-22,
Business Line,Consumer Finance,CF-BD-Merchant Sales,2245,1-May-20,Merchant Sales Senior Manager,Associate Director,2135,Egypt - Head Office,2 Year(s) 1 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Merchant Sales,2678,15-Dec-21,Merchant Sales Manager,Associate Director,2135,Egypt - Head Office,0 Year(s) 5 Month(s) 16 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Merchant Sales,2123,1-Nov-17,Merchant Sales Operations Senior Team Lead,Associate VP,2245,Egypt - Head Office,4 Year(s) 7 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Partner,Consumer Finance,CF-BD-Outsourced Employee Affairs,2594,1-Jun-21,Outsourced Employee Affairs Senior Supervisor,Associate VP,2135,Egypt - Head Office,0 Year(s) 11 Month(s) 0 Day(s),Male,Officers,30-Apr-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Sales,2583,15-Apr-21,Sales Head,Associate Director,2135,Egypt - Head Office,1 Year(s) 1 Month(s) 16 Day(s),Female,Officers,31-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Sales,2729,1-Mar-22,Branch Sales Manager,Associate VP,2583,Egypt - Head Office,0 Year(s) 2 Month(s) 12 Day(s),Female,Officers,12-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Sales Support,2611,1-Jun-21,Merchant Sales Officer,Associate,2245,Egypt - Head Office,1 Year(s) 0 Month(s) 0 Day(s),Female,Officers,31-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Sales Support,2278,15-Jun-21,Sales Agent Team Lead,Associate,2583,Egypt - Head Office,0 Year(s) 10 Month(s) 28 Day(s),Male,Officers,12-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Sales Support,2608,1-Jun-21,Tele-Sales Team Lead,Associate,2583,Egypt - Head Office,1 Year(s) 0 Month(s) 0 Day(s),Male,Officers,31-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-BD-Sales Support,2612,1-Jun-21,Direct Sales Support Senior Officer,Associate,2583,Egypt - Head Office,0 Year(s) 11 Month(s) 15 Day(s),Female,Officers,15-May-22,Separation of legal entity
Business Line,Consumer Finance,CF-Business Development,2135,19-Nov-17,Chief Commercial Officer,Director,1996,Egypt - Head Office,4 Year(s) 6 Month(s) 12 Day(s),Male,Officers,31-May-22,Separation of legal entity
